,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA_x,Tiempo_Supervivencia,ID,HORA,HH,DIA_SEMANA_y,TIPO_DE_CALLE,pos x,pos y,coordenada_x,coordenada_y,ACUSADO
87,2016-0113,2016-08-27,2016,8,27.0,PEATON,PEATON,FEMENINO,60.0,,Sábado,,2016-0113,16:45:00,16.0,5.0,AVENIDA,-58.49603546,-34.64564271,96998.81124177,98183.20743664,PASAJEROS
88,2016-0114,2016-08-31,2016,8,31.0,CICLISTA,BICICLETA,FEMENINO,55.0,2016-08-31,Miércoles,0 days,2016-0114,11:20:00,11.0,2.0,CALLE,-58.41848605,-34.59394733,104111.05146856,103917.57944765,CARGAS
89,2016-0115,2016-09-02,2016,9,2.0,,,MASCULINO,,,Viernes,,2016-0115,11:50:00,11.0,4.0,CALLE,-58.48935041,-34.54917673,97608.87024259,108884.67029908,CARGAS
90,2016-0116,2016-09-02,2016,9,2.0,CONDUCTOR,MOTO,MASCULINO,30.0,2016-09-02,Viernes,0 days,2016-0116,20:20:00,20.0,4.0,AVENIDA,-58.44451316,-34.68475866,101721.59002217,93844.25656649,AUTO
91,2016-0117,2016-09-03,2016,9,3.0,CONDUCTOR,AUTO,MASCULINO,43.0,,Sábado,,2016-0117,15:30:00,15.0,5.0,AVENIDA,-58.39936478,-34.58271474,105865.95849347,105162.71037105,AUTO
92,2016-0118,2016-09-04,2016,9,4.0,CONDUCTOR,AUTO,MASCULINO,27.0,2016-09-04,Domingo,0 days,2016-0118,3:30:00,3.0,6.0,AUTOPISTA,-58.37936704,-34.62694503,107696.68171812,100254.7626871,AUTO
93,2016-0119,2016-09-04,2016,9,4.0,PASAJERO_ACOMPAÑANTE,,FEMENINO,,,Domingo,,2016-0119,6:40:00,6.0,6.0,AVENIDA,-58.49659234,-34.56353635,96944.69676081,107291.52292157,
94,2016-0122,2016-09-13,2016,9,13.0,CICLISTA,BICICLETA,MASCULINO,49.0,2016-09-13,Martes,0 days,2016-0122,7:10:00,7.0,1.0,AVENIDA,-58.47256391,-34.65194557,99150.75069529,97484.4665028,PASAJEROS
95,2016-0123,2016-09-14,2016,9,14.0,CONDUCTOR,MOTO,FEMENINO,58.0,,Miércoles,,2016-0123,9:00:00,9.0,2.0,AVENIDA,-58.45130953,-34.64053676,101099.34592952,98750.07827754,AUTO
96,2016-0124,2016-09-16,2016,9,16.0,PEATON,PEATON,MASCULINO,67.0,,Viernes,,2016-0124,15:24:00,15.0,4.0,AVENIDA,-58.46271207,-34.62884871,100053.89791316,100046.73776995,PASAJEROS
97,2016-0125,2016-09-17,2016,9,17.0,CONDUCTOR,MOTO,MASCULINO,30.0,,Sábado,,2016-0125,12:14:00,12.0,5.0,AUTOPISTA,-58.49020869,-34.64243791,97532.91184699,98538.89061454,MOTO
98,2016-0126,2016-09-18,2016,9,18.0,CONDUCTOR,AUTO,MASCULINO,37.0,,Domingo,,2016-0126,22:45:00,22.0,6.0,CALLE,-58.52572109,-34.62125906,94275.54271123,100886.87954649,CARGAS
99,2016-0126,2016-09-18,2016,9,18.0,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60.0,,Domingo,,2016-0126,22:45:00,22.0,6.0,CALLE,-58.52572109,-34.62125906,94275.54271123,100886.87954649,CARGAS
100,2016-0127,2016-09-24,2016,9,24.0,PEATON,PEATON,MASCULINO,50.0,,Sábado,,2016-0127,10:25:00,10.0,5.0,AVENIDA,-58.44094791,-34.66677111,102048.72946345,95839.6347899,PASAJEROS
101,2016-0128,2016-10-02,2016,10,2.0,PEATON,PEATON,FEMENINO,81.0,2016-10-02,Domingo,0 days,2016-0128,11:30:00,11.0,6.0,AVENIDA,-58.41914024,-34.6305389,104049.28528337,99858.37522846,PASAJEROS
102,2016-0130,2016-10-04,2016,10,4.0,CONDUCTOR,MOTO,MASCULINO,29.0,2016-10-04,Martes,0 days,2016-0130,12:30:00,12.0,1.0,AUTOPISTA,-58.37910942,-34.62764717,107720.24059557,100176.85101454,CARGAS
103,2016-0131,2016-10-09,2016,10,9.0,PEATON,PEATON,MASCULINO,35.0,,Domingo,,2016-0131,19:13:00,19.0,6.0,CALLE,-58.39871183,-34.64539318,105921.45515383,98209.53178328,AUTO
